Date,Stock,Open,High,Low,Close,Volume
2020-03-13,AAPL,184.78,185.35,179.86,181.04,2079600
2020-03-16,AAPL,180.15,181.19,177.94,179.48,5197355
2020-03-17,AAPL,179.43,182.15,179.04,180.47,6143901
2020-03-18,AAPL,182.61,185.33,180.66,183.88,3900603
2020-03-19,AAPL,182.57,184.06,178.09,178.59,4177945
2020-03-20,AAPL,177.82,181.49,177.51,181.14,2043233
2020-03-23,AAPL,180.82,181.19,178.55,180.42,7665088
2020-03-24,AAPL,182.54,185.44,182.04,184.6,3164367
2020-03-25,AAPL,183.92,184.11,182.77,183.4,3288627
2020-03-26,AAPL,184.09,185.99,183.17,185.29,6738852
2020-03-27,AAPL,186.93,188.2,183.98,184.07,4693305
2020-03-30,AAPL,184.07,186.66,182.7,185.58,2100567
2020-03-31,AAPL,185.92,189.38,184.57,187.78,6246880
2020-04-01,AAPL,188.26,190.44,186.62,189.19,3055723
2020-04-02,AAPL,188.31,189.06,186.83,186.91,5580081
2020-04-03,AAPL,186.42,187.48,184.73,186.84,4353597
2020-04-06,AAPL,186.25,188.19,184.86,187.95,1157164
2020-04-07,AAPL,188.4,189.49,187.39,188.24,8326434
2020-04-08,AAPL,188.22,189.2,186.67,188.45,5122263
2020-04-09,AAPL,188.63,191.25,187.27,190.78,7990102
2020-04-10,AAPL,190.37,192.7,189.36,190.89,4264908
2020-04-13,AAPL,190.65,192.38,188.84,192.36,7197323
2020-04-14,AAPL,192.75,194.11,191.54,192.5,4599865
2020-04-15,AAPL,191.69,196.46,191.03,195.87,3763642
2020-04-16,AAPL,195.53,197.89,193.58,196.03,6083769
2020-04-17,AAPL,197.0,197.7,196.47,196.71,3276360
2020-04-20,AAPL,197.32,200.24,197.15,200.04,8517836
2020-04-21,AAPL,199.53,201.31,196.52,196.82,7903836
2020-04-22,AAPL,195.37,197.0,190.66,192.55,7983896
2020-04-23,AAPL,190.81,194.37,189.85,192.95,9415398
2020-04-24,AAPL,193.81,194.03,192.5,193.49,5984445
2020-04-27,AAPL,193.81,195.3,190.99,192.16,6304509
2020-04-28,AAPL,191.61,191.77,185.63,186.69,6703737
2020-04-29,AAPL,186.91,187.09,185.8,186.94,3373139
2020-04-30,AAPL,186.24,188.23,182.91,184.3,6967106
2020-05-01,AAPL,184.19,187.38,183.64,186.14,3667867
2020-05-04,AAPL,184.93,188.57,184.4,188.11,5166500
2020-05-05,AAPL,188.45,192.83,186.83,192.21,5885211
2020-05-06,AAPL,191.56,191.71,188.87,190.75,1575278
2020-05-07,AAPL,190.9,193.3,190.07,192.97,2110389
2020-05-08,AAPL,193.27,194.03,189.13,191.07,5345760
2020-05-11,AAPL,188.62,189.17,186.7,186.82,7189573
2020-05-12,AAPL,187.16,192.48,185.33,190.98,9551881
2020-05-13,AAPL,189.63,190.04,187.85,188.36,6558956
2020-05-14,AAPL,186.99,189.4,185.75,188.06,2186887
2020-05-15,AAPL,188.06,189.01,185.54,187.2,3658571
2020-05-18,AAPL,186.64,192.56,185.07,191.72,5100673
2020-05-19,AAPL,191.92,193.24,190.65,192.02,1550222
2020-05-20,AAPL,192.91,193.6,191.61,192.63,2353038
2020-05-21,AAPL,194.26,195.99,189.6,191.5,4463351
2020-05-22,AAPL,191.96,193.27,191.87,193.14,2849396
2020-05-25,AAPL,191.99,193.15,190.1,190.78,9001482
2020-05-26,AAPL,191.15,191.51,188.58,189.27,6606594
2020-05-27,AAPL,189.74,190.97,189.29,189.77,7348564
2020-05-28,AAPL,189.24,189.59,187.47,187.65,3245131
2020-05-29,AAPL,187.1,188.1,183.32,184.7,2072200
2020-06-01,AAPL,184.66,186.04,181.84,182.86,4125354
2020-06-02,AAPL,183.71,185.21,182.1,182.47,7160686
2020-06-03,AAPL,182.2,183.43,176.85,177.59,7859991
2020-06-04,AAPL,177.34,177.89,177.07,177.59,3901614
2020-06-05,AAPL,178.07,179.43,176.33,179.37,6872354
2020-06-08,AAPL,178.5,179.97,177.68,178.04,7292518
2020-06-09,AAPL,176.98,177.64,175.43,175.67,6642264
2020-06-10,AAPL,176.73,179.03,176.55,178.04,9376430
2020-06-11,AAPL,178.44,182.9,177.31,181.73,7482532
2020-06-12,AAPL,183.13,184.27,179.8,180.51,2314532
2020-06-15,AAPL,179.89,180.87,175.67,177.37,9375741
2020-06-16,AAPL,176.54,178.34,175.29,175.45,5612338
2020-06-17,AAPL,176.25,176.55,174.3,176.54,2030117
2020-06-18,AAPL,177.07,178.6,175.93,177.49,9386180
2020-06-19,AAPL,176.92,177.77,173.9,174.92,1954480
2020-06-22,AAPL,176.76,178.83,176.59,177.3,9671370
2020-06-23,AAPL,177.1,179.24,176.36,178.05,5909047
2020-06-24,AAPL,177.45,180.33,175.93,178.97,9112074
2020-06-25,AAPL,181.36,182.95,179.94,180.15,1786667
2020-06-26,AAPL,180.83,182.82,180.14,180.55,2384418
2020-06-29,AAPL,180.63,181.78,178.64,180.32,3155748
2020-06-30,AAPL,179.83,180.16,177.34,178.97,5873594
2020-07-01,AAPL,179.71,180.83,178.53,180.2,1829735
2020-07-02,AAPL,181.97,183.77,179.92,181.17,4086176
2020-07-03,AAPL,181.19,185.01,179.39,184.54,5633078
2020-07-06,AAPL,183.8,184.37,182.71,183.91,8905477
2020-07-07,AAPL,184.07,185.88,183.79,185.21,5537358
2020-07-08,AAPL,185.2,188.79,184.05,187.31,7867100
2020-07-09,AAPL,186.85,187.34,183.66,185.15,7097091
2020-07-10,AAPL,186.66,189.21,185.97,187.46,5057893
2020-07-13,AAPL,185.22,187.48,184.01,186.57,2805468
2020-07-14,AAPL,185.55,192.32,184.01,191.5,3080154
2020-07-15,AAPL,192.89,195.99,192.38,194.9,9357956
2020-07-16,AAPL,193.73,194.57,191.79,192.37,8168362
2020-07-17,AAPL,192.65,193.66,189.17,190.4,5424507
2020-07-20,AAPL,189.52,191.77,187.94,189.93,1890695
2020-07-21,AAPL,191.13,193.23,191.0,192.48,9887324
2020-07-22,AAPL,191.85,192.22,189.19,190.86,1494592
2020-07-23,AAPL,190.92,194.29,190.12,193.1,1318408
2020-07-24,AAPL,192.31,195.21,191.1,193.63,5235042
2020-07-27,AAPL,194.48,196.32,189.15,189.84,2581530
2020-07-28,AAPL,189.5,193.29,188.6,192.84,1996530
2020-07-29,AAPL,193.31,193.65,190.19,190.26,2045482
2020-07-30,AAPL,189.24,192.19,188.94,190.27,3412149
2020-07-31,AAPL,190.38,193.01,189.78,192.64,6768927
2020-08-03,AAPL,192.65,193.07,190.81,192.61,9652831
2020-08-04,AAPL,194.86,195.62,192.04,193.72,7511634
2020-08-05,AAPL,195.1,195.99,188.98,189.79,5495013
2020-08-06,AAPL,189.43,190.57,189.28,189.91,6211593
2020-08-07,AAPL,189.97,193.47,188.01,191.87,5846769
2020-08-10,AAPL,191.62,194.77,191.11,193.66,4438550
2020-08-11,AAPL,193.76,194.12,192.2,193.5,9860935
2020-08-12,AAPL,193.26,194.71,190.8,192.51,9997354
2020-08-13,AAPL,192.24,192.88,189.95,190.12,2839433
2020-08-14,AAPL,188.45,193.77,186.82,191.98,9476563
2020-08-17,AAPL,192.99,193.71,191.9,191.97,7193956
2020-08-18,AAPL,193.22,194.09,188.29,188.88,9121849
2020-08-19,AAPL,188.33,190.87,187.36,189.13,1090093
2020-08-20,AAPL,187.8,188.77,186.53,187.55,3859244
2020-08-21,AAPL,186.2,187.49,184.41,185.26,2014929
2020-08-24,AAPL,186.6,187.85,186.47,186.86,6888997
2020-08-25,AAPL,186.39,187.46,186.11,187.44,7790968
2020-08-26,AAPL,188.35,188.85,185.25,186.52,9960820
2020-08-27,AAPL,184.68,185.72,182.03,182.12,7854453
2020-08-28,AAPL,181.77,183.38,181.28,182.17,5902666
2020-08-31,AAPL,181.25,182.68,177.95,178.54,1378165
2020-09-01,AAPL,180.62,182.5,178.55,180.01,1415008
2020-09-02,AAPL,180.31,180.64,175.19,176.87,2170365
2020-09-03,AAPL,176.39,181.68,175.69,180.99,8733308
2020-09-04,AAPL,180.36,184.48,178.73,183.99,6787749
2020-09-07,AAPL,182.23,184.7,180.39,184.51,1428988
2020-09-08,AAPL,185.18,188.24,185.0,187.2,5894287
2020-09-09,AAPL,187.58,190.41,186.26,188.8,4737973
2020-09-10,AAPL,188.84,190.67,187.55,188.86,8597626
2020-09-11,AAPL,189.68,190.02,188.28,189.95,3035848
2020-09-14,AAPL,189.75,190.6,187.86,189.45,1838003
2020-09-15,AAPL,188.98,192.41,188.91,190.75,7081687
2020-09-16,AAPL,190.32,190.47,188.31,189.7,1134055
2020-09-17,AAPL,187.62,188.77,183.45,185.05,8132508
2020-09-18,AAPL,186.28,189.0,185.43,187.96,8152747
2020-09-21,AAPL,188.04,192.05,186.44,190.17,8904294
2020-09-22,AAPL,192.77,193.31,190.67,191.47,8969693
2020-09-23,AAPL,189.78,191.26,185.79,186.27,5720642
2020-09-24,AAPL,184.41,186.11,182.37,183.81,1785332
2020-09-25,AAPL,183.77,185.01,182.41,184.24,4188729
2020-09-28,AAPL,183.59,186.37,181.63,185.19,6954878
2020-09-29,AAPL,185.15,187.72,184.81,186.49,6166650
2020-09-30,AAPL,187.63,188.09,185.31,186.97,1863561
2020-10-01,AAPL,186.84,186.92,183.92,185.84,9533879
2020-10-02,AAPL,185.34,187.28,183.24,185.01,9465506
2020-10-05,AAPL,185.64,191.07,184.61,190.55,4041341
2020-10-06,AAPL,192.78,194.28,191.38,191.45,2675843
2020-10-07,AAPL,190.61,192.69,190.08,190.94,3614235
2020-10-08,AAPL,190.33,192.04,190.2,190.27,4978702
2020-10-09,AAPL,190.93,195.13,190.11,194.95,7849486
2020-10-12,AAPL,195.0,196.92,193.52,193.74,9212420
2020-10-13,AAPL,193.78,197.65,192.64,195.84,9399911
2020-10-14,AAPL,196.52,200.75,194.76,200.21,3366610
2020-10-15,AAPL,199.84,201.24,199.52,200.93,9493836
2020-10-16,AAPL,201.43,204.51,200.2,203.15,8393979
2020-10-19,AAPL,202.98,203.94,201.49,203.27,3592670
2020-10-20,AAPL,202.46,204.57,202.29,204.19,4081328
2020-10-21,AAPL,203.2,204.26,203.18,203.51,7493509
2020-10-22,AAPL,204.69,205.48,203.86,204.22,5068316
2020-10-23,AAPL,203.66,206.19,201.77,204.65,5899856
2020-10-26,AAPL,205.4,208.3,205.28,207.35,3042999
2020-10-27,AAPL,206.79,209.06,206.74,207.55,6155872
2020-10-28,AAPL,207.42,208.96,201.98,203.35,3534937
2020-10-29,AAPL,203.23,205.12,200.58,200.78,8906166
2020-10-30,AAPL,200.24,203.68,198.7,202.0,4722946
2020-11-02,AAPL,202.65,203.48,201.17,202.45,4340216
2020-11-03,AAPL,200.6,201.24,198.02,199.47,5897954
2020-11-04,AAPL,199.54,200.28,197.35,199.08,3377935
2020-11-05,AAPL,197.87,198.58,197.68,198.18,6644807
2020-11-06,AAPL,198.74,201.16,197.49,199.64,6150635
2020-11-09,AAPL,200.89,202.84,200.65,201.87,1797968
2020-11-10,AAPL,200.45,202.78,200.0,201.66,3874299
2020-11-11,AAPL,201.79,202.32,198.83,200.42,8594378
2020-11-12,AAPL,202.39,203.18,199.67,201.62,4151882
2020-11-13,AAPL,202.4,204.81,202.32,203.25,1164053
2020-11-16,AAPL,202.63,203.71,201.49,203.51,9107317
2020-11-17,AAPL,205.01,207.88,204.99,206.76,9962049
2020-11-18,AAPL,207.79,208.14,206.14,207.97,8654502
2020-11-19,AAPL,208.17,209.55,204.44,206.04,5000737
2020-11-20,AAPL,206.14,208.05,205.35,205.6,8258746
2020-11-23,AAPL,205.65,207.07,202.62,204.36,2308507
2020-11-24,AAPL,203.78,207.59,203.62,205.96,2225811
2020-11-25,AAPL,208.12,212.03,207.15,210.46,8265406
2020-11-26,AAPL,212.2,212.75,212.08,212.59,5335702
2020-11-27,AAPL,212.29,217.85,211.64,216.62,7152941
2020-11-30,AAPL,215.59,217.17,213.21,214.53,7512427
2020-12-01,AAPL,216.26,217.59,214.27,217.13,5678714
2020-12-02,AAPL,216.0,218.49,215.86,217.13,2946830
2020-12-03,AAPL,216.87,218.61,212.08,213.54,3229180
2020-12-04,AAPL,213.92,217.45,212.38,215.98,5031419
2020-12-07,AAPL,214.42,219.88,213.45,218.42,1289102
2020-12-08,AAPL,218.25,220.57,217.07,220.02,5443778
2020-12-09,AAPL,221.5,225.72,221.23,224.26,5214279
2020-12-10,AAPL,225.91,227.18,222.09,222.83,4850241
2020-12-11,AAPL,223.16,224.14,222.08,222.57,6540070
2020-12-14,AAPL,223.72,224.05,219.46,220.24,3844664
2020-12-15,AAPL,221.29,221.31,219.52,220.7,5542923
2020-12-16,AAPL,219.14,219.29,218.26,218.6,2042377
2020-12-17,AAPL,220.55,220.84,218.47,219.37,9361735
2020-12-18,AAPL,220.87,222.9,220.53,222.57,7507640
2020-12-21,AAPL,220.93,224.41,219.37,223.35,5220459
2020-12-22,AAPL,224.44,225.56,223.04,224.12,1937841
2020-12-23,AAPL,222.88,224.5,222.7,224.14,8500960
2020-12-24,AAPL,223.55,223.87,221.58,223.57,2180887
2020-12-25,AAPL,222.02,224.07,221.34,223.03,5273445
2020-12-28,AAPL,224.14,224.54,220.71,222.06,5990961
2020-12-29,AAPL,222.66,222.97,220.57,221.04,6877845
2020-12-30,AAPL,221.84,223.8,218.66,219.41,9121757
2020-12-31,AAPL,221.81,223.55,220.55,221.69,6416775
2021-01-01,AAPL,222.31,224.25,220.98,222.59,5828761
2021-01-04,AAPL,221.6,222.81,220.09,220.72,3825896
2021-01-05,AAPL,220.46,220.68,218.15,219.45,3887698
2021-01-06,AAPL,220.04,223.04,219.17,221.45,7133066
2021-01-07,AAPL,219.98,221.28,217.52,218.18,6594176
2021-01-08,AAPL,216.9,218.29,212.84,213.61,4037099
2021-01-11,AAPL,213.66,213.99,211.91,213.19,7579137
2021-01-12,AAPL,210.94,212.67,208.54,209.58,1747419
2021-01-13,AAPL,208.19,209.35,203.83,204.9,3086213
2021-01-14,AAPL,205.75,208.75,204.11,207.71,6044842
2021-01-15,AAPL,207.46,210.09,207.34,208.24,4617556
2021-01-18,AAPL,206.84,207.18,205.42,206.65,5338843
2021-01-19,AAPL,204.74,206.76,203.31,205.53,1698956
2021-01-20,AAPL,204.55,204.91,202.74,204.1,8519817
2021-01-21,AAPL,203.56,205.18,201.98,204.59,8020988
2021-01-22,AAPL,205.99,207.09,205.75,205.84,2455465
2021-01-25,AAPL,206.08,211.77,204.5,210.58,9910606
2021-01-26,AAPL,209.18,214.36,207.38,212.68,8983823
2021-01-27,AAPL,211.06,212.42,209.6,211.81,9002619
2021-01-28,AAPL,212.84,215.52,212.54,213.98,9889782
2021-01-29,AAPL,212.79,214.89,211.07,213.41,9143478
2021-02-01,AAPL,212.1,213.02,211.64,212.39,6334538
2021-02-02,AAPL,211.83,213.02,208.1,209.09,5736319
2021-02-03,AAPL,209.51,210.32,207.11,207.96,8991208
2021-02-04,AAPL,208.53,212.34,208.37,211.79,4258084
2021-02-05,AAPL,210.69,211.4,209.13,209.27,6181057
2021-02-08,AAPL,208.74,210.44,208.2,209.16,2908802
2021-02-09,AAPL,207.16,208.58,205.82,207.91,9383190
2021-02-10,AAPL,206.41,208.4,202.86,203.75,7606963
2021-02-11,AAPL,203.85,205.76,202.14,202.49,5001070
2021-02-12,AAPL,202.66,202.85,198.93,199.83,6311499
2021-02-15,AAPL,201.14,202.73,196.86,198.71,2147116
2021-02-16,AAPL,197.96,200.88,197.77,199.54,6859046
2021-02-17,AAPL,199.84,202.85,199.52,201.84,3615804
2021-02-18,AAPL,201.05,201.23,196.52,198.39,9210880
2021-02-19,AAPL,197.54,198.44,193.14,194.34,1233782
2021-02-22,AAPL,194.79,195.94,192.6,193.73,2794291
2021-02-23,AAPL,193.81,194.57,191.86,193.61,4733149
2021-02-24,AAPL,192.91,194.2,191.27,193.78,3733460
2021-02-25,AAPL,194.49,195.88,193.53,194.73,6272864
2021-02-26,AAPL,194.71,197.55,193.18,196.34,5832691
2021-03-01,AAPL,193.82,194.24,193.08,193.94,8585159
2021-03-02,AAPL,194.89,195.36,187.96,188.12,5202271
2021-03-03,AAPL,188.36,190.23,184.67,186.42,2756124
2021-03-04,AAPL,186.7,187.14,183.88,185.12,8574587
2021-03-05,AAPL,183.8,184.93,180.3,180.68,4512664
2021-03-08,AAPL,180.83,182.8,179.68,180.15,7976610
2021-03-09,AAPL,179.38,180.77,177.03,178.26,2619715
2021-03-10,AAPL,176.73,179.8,175.68,178.55,2297638
2021-03-11,AAPL,179.43,181.59,178.12,180.78,3456070
2021-03-12,AAPL,178.83,184.59,178.06,184.23,9982913
2021-03-15,AAPL,184.0,185.58,180.74,181.91,6529046
2021-03-16,AAPL,182.02,182.45,179.76,179.78,2685996
2021-03-17,AAPL,179.76,181.14,178.67,180.92,6378750
2021-03-18,AAPL,179.18,179.48,178.92,179.17,6923361
2021-03-19,AAPL,180.34,181.29,177.86,178.61,1817052
2021-03-22,AAPL,180.08,181.87,177.75,179.67,8503888
2021-03-23,AAPL,180.13,182.08,179.98,180.46,9692832
2021-03-24,AAPL,180.38,183.49,179.06,182.22,3518970
2021-03-25,AAPL,180.71,182.49,179.26,180.16,8436754
2021-03-26,AAPL,179.55,179.63,177.91,179.4,8609964
2021-03-29,AAPL,179.28,179.54,178.26,179.47,4764455
2021-03-30,AAPL,178.12,178.82,174.63,176.18,6215622
2021-03-31,AAPL,175.56,178.78,174.47,177.95,7071845
2021-04-01,AAPL,177.98,179.78,174.72,176.29,6497191
2021-04-02,AAPL,174.87,178.28,174.62,177.87,8437693
2021-04-05,AAPL,177.66,179.58,176.47,177.42,6511934
2021-04-06,AAPL,178.88,183.97,177.25,182.48,1981883
2021-04-07,AAPL,182.71,182.9,180.14,180.89,9181883
2021-04-08,AAPL,179.78,180.32,177.18,179.04,1863403
2021-04-09,AAPL,179.25,180.54,178.35,178.92,3217181
2021-04-12,AAPL,178.75,180.83,177.83,179.32,9281447
2021-04-13,AAPL,178.02,178.6,177.38,178.49,2265898
2021-04-14,AAPL,178.79,180.24,175.14,175.35,8319764
2021-04-15,AAPL,176.16,177.75,175.15,177.32,4690583
2021-04-16,AAPL,176.35,177.86,171.31,172.8,3892478
2021-04-19,AAPL,172.96,174.72,170.38,171.25,3971783
2021-04-20,AAPL,171.0,171.49,169.51,170.96,3398083
2021-04-21,AAPL,170.75,172.35,168.64,169.05,2707017
2021-04-22,AAPL,169.81,172.21,168.43,170.98,2116271
2021-04-23,AAPL,171.26,174.18,169.73,174.17,1666165
2021-04-26,AAPL,174.99,177.95,173.48,176.59,4937270
2021-04-27,AAPL,176.82,177.07,169.35,170.12,5742297
2021-04-28,AAPL,168.7,170.09,165.17,165.18,1104195
2021-04-29,AAPL,164.76,165.57,160.65,162.4,8303693
2021-04-30,AAPL,161.86,162.92,160.46,162.47,9687479
2021-05-03,AAPL,164.1,167.62,163.56,166.01,4567675
2021-05-04,AAPL,167.1,167.4,162.87,164.26,7444345
2021-05-05,AAPL,165.21,167.61,164.33,166.57,6510493
2021-05-06,AAPL,165.86,166.03,161.68,162.12,3444026
2021-05-07,AAPL,162.74,165.6,162.14,164.14,7893728
2021-05-10,AAPL,166.0,167.57,163.61,163.84,5835451
2021-05-11,AAPL,165.04,166.22,160.8,161.17,6289730
2021-05-12,AAPL,160.64,163.22,160.04,162.18,7221714
2021-05-13,AAPL,161.72,163.46,156.84,158.53,2877971
2021-05-14,AAPL,158.34,162.08,158.07,161.12,6913318
2021-05-17,AAPL,160.84,162.69,157.9,158.84,8232212
2021-05-18,AAPL,157.87,158.36,154.27,156.08,1486799
2021-05-19,AAPL,155.78,160.47,155.65,158.92,7558947
2021-05-20,AAPL,156.49,158.95,154.69,158.26,9503967
2021-05-21,AAPL,158.51,159.8,156.63,158.68,7342057
2021-05-24,AAPL,159.17,161.53,158.18,160.28,2863236
2021-05-25,AAPL,159.17,161.43,158.24,160.3,8402324
2021-05-26,AAPL,158.69,161.25,158.39,161.02,1091006
2021-05-27,AAPL,161.65,162.77,159.7,160.75,7389308
2021-05-28,AAPL,160.26,161.34,155.88,157.47,9433840
2021-05-31,AAPL,156.64,157.73,155.67,156.81,8353172
2021-06-01,AAPL,157.21,157.65,155.25,155.45,7911855
2021-06-02,AAPL,157.08,157.66,154.98,156.56,8370683
2021-06-03,AAPL,156.63,158.22,155.59,156.59,4471750
2021-06-04,AAPL,156.71,160.36,155.21,158.85,8543159
2021-06-07,AAPL,159.2,159.53,157.02,157.53,6692796
2021-06-08,AAPL,157.85,159.39,157.73,157.78,2726199
2021-06-09,AAPL,158.67,159.74,157.51,158.51,1021253
2021-06-10,AAPL,157.71,158.5,153.26,153.45,2274634
2021-06-11,AAPL,153.56,154.13,149.1,150.68,8601748
2021-06-14,AAPL,151.73,152.13,147.18,148.97,3831569
2021-06-15,AAPL,149.46,151.04,147.13,147.76,8346562
2021-06-16,AAPL,148.55,148.89,147.0,148.01,2960155
2021-06-17,AAPL,147.46,149.25,145.12,146.43,3843236
2021-06-18,AAPL,148.49,148.66,144.59,146.36,7223754
2021-06-21,AAPL,146.88,147.73,144.91,146.89,8983372
2021-06-22,AAPL,147.28,147.47,145.68,145.74,6504381
2021-06-23,AAPL,146.03,146.7,145.29,145.88,2027557
2021-06-24,AAPL,147.69,149.02,146.75,148.39,6688238
2021-06-25,AAPL,147.06,149.74,145.42,149.23,4932747
2021-06-28,AAPL,148.23,149.65,145.57,147.22,2406368
2021-06-29,AAPL,146.65,147.35,144.93,145.83,3131018
2021-06-30,AAPL,147.05,150.8,145.37,150.09,1294746
2021-07-01,AAPL,149.19,151.19,148.54,149.84,9512558
2021-07-02,AAPL,150.12,150.58,147.93,149.6,9299350
2021-07-05,AAPL,149.38,151.11,147.76,148.19,5307086
2021-07-06,AAPL,149.22,151.1,144.84,146.59,2888806
2021-07-07,AAPL,146.87,150.11,146.87,148.36,5777402
2021-07-08,AAPL,148.23,149.15,144.55,146.28,7417954
2021-07-09,AAPL,147.59,148.55,146.8,146.83,7970199
2021-07-12,AAPL,147.22,149.17,144.18,145.83,1414994
2021-07-13,AAPL,146.72,147.28,143.92,145.66,3409381
2021-07-14,AAPL,143.96,146.67,143.81,145.02,5319453
2021-07-15,AAPL,144.36,146.42,142.61,144.66,3414165
2021-07-16,AAPL,144.56,146.15,144.15,144.22,4331106
2021-07-19,AAPL,145.07,146.22,142.38,143.7,7336356
2021-07-20,AAPL,142.78,143.44,140.96,143.25,6289283
2021-07-21,AAPL,142.73,145.04,141.81,143.22,4457550
2021-07-22,AAPL,144.1,145.45,142.89,144.56,8960339
2021-07-23,AAPL,145.14,148.89,144.88,147.54,8296405
2021-07-26,AAPL,146.65,147.59,142.82,144.78,6547094
2021-07-27,AAPL,145.69,145.7,145.18,145.26,5854042
2021-07-28,AAPL,144.83,146.77,142.78,143.45,7753008
2021-07-29,AAPL,142.88,148.33,141.93,147.44,5396720
2021-07-30,AAPL,147.23,147.26,146.8,147.25,7722090
2021-08-02,AAPL,146.76,149.24,145.89,148.31,5075837
2021-08-03,AAPL,147.81,148.36,145.94,147.57,8732752
2021-08-04,AAPL,147.26,148.27,143.92,145.66,6837196
2021-08-05,AAPL,145.37,146.5,143.51,145.6,5902444
2021-08-06,AAPL,144.22,145.04,138.69,140.5,2549420
2021-08-09,AAPL,138.92,142.36,137.01,140.71,4804409
2021-08-10,AAPL,141.4,142.24,139.96,142.24,7281646
2021-08-11,AAPL,142.38,143.76,140.93,141.15,5408285
2021-08-12,AAPL,141.74,144.1,140.55,143.91,6059667
2021-08-13,AAPL,143.71,146.07,142.21,145.42,3593726
2021-08-16,AAPL,146.75,151.18,145.56,149.41,9494630
2021-08-17,AAPL,149.79,151.3,147.98,151.06,1161445
2021-08-18,AAPL,151.62,154.52,150.72,153.46,4999694
2021-08-19,AAPL,151.5,154.42,150.19,152.96,8964443
2021-08-20,AAPL,154.01,154.82,153.18,153.34,7983604
2021-08-23,AAPL,153.6,156.16,152.83,155.7,4885250
2021-08-24,AAPL,153.89,155.05,151.76,152.5,1328821
2021-08-25,AAPL,153.53,156.53,153.2,155.78,4615652
2021-08-26,AAPL,155.38,157.16,153.49,155.64,9634012
2021-08-27,AAPL,153.29,153.97,152.52,153.96,6752613
2021-08-30,AAPL,154.07,158.14,152.91,156.46,5701669
2021-08-31,AAPL,158.35,158.63,156.46,157.43,1828791
2021-09-01,AAPL,157.45,158.56,157.26,158.29,8871917
